pubkey: 2C4KnvXxvXtwLwVsfC7K2t59hagdPvaPbZSwT1o4biQe | owner: Mvwoi3Taht1kmJZFo7enY6cnycNERMCzXV5mophD6KM | ts: 2026-09-13T17:16:18.000Z | dep: $829.60 | bor: $28615.73 | LTV: 34.4933 | liqThresh: 0.6500
pubkey: 2F8Wj5dgUpAuPkmTT4nZZ5okCSahi4XikkE1kWhPjsoK | owner: 7q9yAKdjyt27wGXNzsPbmSZCUTafZUCvGTYsZdttdQGb | ts: 2026-08-26T07:07:07.000Z | dep: $10.90 | bor: $28598.25 | LTV: 2624.2475 | liqThresh: 0.5000
pubkey: 2FguY8N7n7bFXoDVRKz6o5jkpoA7bmDoH8ZV1REwNXnX | owner: ry5DAu3UjLsYenuy8SdJSp7sevHFeEcd2PaDxR2zgWT | ts: 2026-09-06T06:05:23.000Z | dep: $771.34 | bor: $28614.90 | LTV: 37.0978 | liqThresh: 0.7200
pubkey: 2GHAa1PaWgKaKEKcw8B3pwSbNt9QU622xidRKYMSZifq | owner: BR9iz2tpygLUSjZkqBgivhCVD2Ftrb1He4L7thx77eJS | ts: 2026-09-10T23:41:55.000Z | dep: $809.72 | bor: $202240.89 | LTV: 249.7679 | liqThresh: 0.7500
pubkey: 2GLqGtoTu8iXHMi6sxv51CBrKeNByFpwBj3zPufJv6ed | owner: 3ijUMbbBeG2TrdLPmLM6kPPzsmVo4KSsWy9qdnXVSVVa | ts: 2026-08-27T19:52:01.000Z | dep: $390.16 | bor: $28601.87 | LTV: 73.3083 | liqThresh: 0.6500
pubkey: 2GYTMF4LW1KHQcDBtM4LNJ9zxZAbaCshKZyFksxJGpfG | owner: G6bAGHBa5zFXgYSFm73g7A7gYwqqyW1mf6skJ2EBzAuB | ts: 2026-08-26T00:21:46.000Z | dep: $74003.75 | bor: $28562.15 | LTV: 0.3860 | liqThresh: 0.4000
pubkey: 2J8mSWd9yy4LcZxGU55UCA6hNah2b8H6wBc8Zeu8cnhc | owner: D9DnCpeanL7CZGsnm2bMw4tYKpZcPqDu3v8yT4BLxpxP | ts: 2026-09-14T05:26:54.000Z | dep: $18485.75 | bor: $28625.92 | LTV: 1.5485 | liqThresh: 0.4000
pubkey: 2K9B31NjUTHHJsDexF9Gum2zDgDAF5WWWFuGGHsqKeRz | owner: GeA5MguP2nFDYaeB4VRj5yhZpw6KJEvnWzW2UUwdggDt | ts: 2026-08-21T14:19:22.000Z | dep: $1749.83 | bor: $28530.43 | LTV: 16.3047 | liqThresh: 0.4000
pubkey: 2Kv4NBgbBEayafddYUCQwZ6u6QbUkTJri5e1Ku1GDQxA | owner: 9SN2MaDqkqofn3PjdombLR97CPgFDc12SdMoH1eB8eXB | ts: 2026-08-31T15:41:31.000Z | dep: $7054.78 | bor: $28380.48 | LTV: 4.0229 | liqThresh: 0.4000
pubkey: 2NHgfdK5iVnmwVK7QFUGUgAaqt9PuA9CRdWqmAZf4i9V | owner: 42vqnbN8rtgh9VRZoHMn7D3vMf8YUmPcSEKV6jNV3c46 | ts: 2026-09-13T12:13:06.000Z | dep: $2063.77 | bor: $28619.85 | LTV: 13.8677 | liqThresh: 0.4000
pubkey: 2RMhKR8zVdF3QciGi7QZMwnPZ1R8Epwwe1Vb3Mp893ed | owner: GMFMAgjdRYFPpYhzbskcDFt9DXFc3ZA8jP7EbxQPhr1i | ts: 2026-08-31T20:00:39.000Z | dep: $972.45 | bor: $28380.17 | LTV: 29.1842 | liqThresh: 0.6500
pubkey: 2Sp9PrBBGC4iHT9Rp3zoN71fZXyovvSG7SQYexoxNPDe | owner: 9AbqCFvU3ghbo6KArFYSP9Tbk3B7j9Qp2purATzSLUvH | ts: 2026-08-24T09:35:56.000Z | dep: $1521.73 | bor: $28597.13 | LTV: 18.7925 | liqThresh: 0.7500
pubkey: 2UNXtkJaXcXSwvLZ6SpRaBMn2KecKgKTJ5uky3zJwsAE | owner: Bi2RX4rTA5ZoUv5FamjjhS1SPuZS1Jkd64rgH63Zgm1t | ts: 2026-09-03T15:30:02.000Z | dep: $174.64 | bor: $28611.29 | LTV: 163.8309 | liqThresh: 0.7000
pubkey: 2VVXTR17ExaqCQ9KemLrcUEYctMksyYHS39Q4KgtyPmv | owner: 9QgdH3U6e4TZsWcynndFXfGQS2g2Eg1cFtmZ5kDpLcbk | ts: 2026-09-08T17:18:14.000Z | dep: $2532.06 | bor: $28618.31 | LTV: 11.3024 | liqThresh: 0.7500
pubkey: 2WNPuiQLoAZRodHCRtPyrY5khUyM5DK4bjiWXei5hDYP | owner: GvNdqR7MCnYVcSdUbVJJwPXWkW9DcZW3AXjGBTHGRjZt | ts: 2026-09-15T15:04:14.000Z | dep: $12689.27 | bor: $28627.86 | LTV: 2.2561 | liqThresh: 0.4000
pubkey: 2Wi1LTN8FQ3Se99F18Ux25kLLz7FkRdciJJkyE1vgiRN | owner: Bg3zmL7LbRx45zkYEHfUSFdTrp3XLMW4HyoRvg7jt7Ma | ts: 2026-09-14T23:29:55.000Z | dep: $424.14 | bor: $60259.58 | LTV: 142.0733 | liqThresh: 0.6500
pubkey: 2YDRJmvdyPXLya3x1s6bYaRNxNVDRehvsbM1b7sicjif | owner: ydTLVUpGSdamKnn3ypwWQ1peeiGAgKW8Kevr4QSsSaZ | ts: 2026-09-03T21:10:54.000Z | dep: $209.30 | bor: $28574.42 | LTV: 136.5209 | liqThresh: 0.4000
pubkey: 2bc4AzXraf1VmocXRzMsjrAmwfELELunX9ARUKEHbTie | owner: ExVQf2LHpdvUsSN8QirVcwXhjRhfRkhmVdxhrSnqqAhy | ts: 2026-09-15T18:29:58.000Z | dep: $144175.70 | bor: $28628.05 | LTV: 0.1986 | liqThresh: 0.6500
pubkey: 2c8RbEvFaStwQ4eWhSCAvw1f6v5aWFVukEdRbSsAkcmr | owner: HDqEqN2Y1dk4WszoBGicMfMXFwxJR57N4s1HJGGrndn6 | ts: 2026-08-21T03:48:47.000Z | dep: $13695.00 | bor: $28454.26 | LTV: 2.0777 | liqThresh: 0.6500
pubkey: 2eg1oP8MVoAFb41qJSWkQLMghJq96iihNfVstHSJPPPW | owner: 638gVR5U8nTx6KkHuhyZxtbkKZjj6bx9dbNrSpUSEa4y | ts: 2026-09-14T12:09:10.000Z | dep: $1738.28 | bor: $28618.27 | LTV: 16.4636 | liqThresh: 0.4000
pubkey: 2gDsPezFPRLoMBcF8bfy4N8nh3LSHjzV9cKwhUZHTyCg | owner: wLDDHgP95g1BRWscqS43xPgsq5TBk16UQMe2cWZXTn4 | ts: 2026-09-01T12:38:22.000Z | dep: $30.00 | bor: $28591.93 | LTV: 953.1946 | liqThresh: 0.7000
